name,variant,survey,band,freq_MHz,flux_or_mag_cut,D_obs,D_obs_err,RA_deg,RA_err_deg,Dec_deg,Dec_err_deg,l_deg,b_deg,sigma_dir_deg_approx,x_count_slope,alpha_spectral,beta_assumed,D_kin_from_x_alpha,D_ratio_obs_over_kin,reference,notes,z_mean,z_notes
CatWISE_W1lt16p5,2MRS_clean,CatWISE AGNs W1<16.5,mid-IR,,Same as baseline; 66 matches to 2MRS z<0.02 removed (paper notes negligible change),0.0151,0.0016,141.0,5.0,-6.0,6.0,238.4326941096269,29.932237492808586,7.792743099138619,1.9,1.07,0.00123,0.00729759,2.069176262300294,"Wagenveld et al. 2025 (A&A 697 A112), arXiv:2503.02470",Not listed as separate 'a' row in Table 1; included here for convenience as change is negligible.,1.2,From Dam et al. 2022/2023 CatWISE quasar sample: mean z≈1.2; 99% z>0.1; 61% z>1 (selection differs slightly).
LoTSS_DR2,2MRS_clean,"LoTSS-DR2 (NB estimator, direction fixed to CMB; Smin=5 mJy)",radio,144.0,Smin = 5 mJy (Table III); direction fixed to CMB ('CMB' row),0.0139,0.00435,167.94,90.0,-6.94,90.0,264.0150423892948,48.25545682610164,127.27922061357856,0.74,-0.73,0.00123,0.00405,3.432098765432099,"Böhme et al. 2025 (arXiv:2509.16732v1; PRL), Tables II–III","LoTSS-DR2 'Free' direction estimates are flagged as problematic in the paper; we therefore use the 'CMB' constrained estimator (Table III), which fixes the dipole direction to the CMB dipole and estimates only the amplitude. To avoid accidentally overweighting a fixed direction in Protocol D, RA/Dec uncertainties are set large (90°) so this tracer contributes mainly via amplitude.",1.0,Wide redshift distribution; not needed for Protocol D fit. | Shared radio z_mean=1 assumed (Protocol D-BAO v0 sensitivity scaffold).
NVSS,2MRS_clean,"NVSS (NB estimator, Free direction; Smin=20 mJy)",radio,1400.0,Smin = 20 mJy (Table III); galactic mask and standard cuts as in paper,0.0154,0.0036,148.1,13.5,-9.5,15.8,246.80700071436257,33.23175935112015,20.78196333362178,0.88,-0.73,0.00123,0.00435,3.540229885057472,"Böhme et al. 2025 (arXiv:2509.16732v1; PRL), Tables II–III",Using the negative-binomial (NB) estimator values for NVSS with a free dipole direction (Table III). For variant=2MRS_clean we keep identical numbers because this pack uses published summary estimates rather than catalog-level re-matching.,1.0,Wide redshift distribution; not needed for Protocol D fit. | Shared radio z_mean=1 assumed (Protocol D-BAO v0 sensitivity scaffold).
CatWISE_W1lt16p5,baseline,CatWISE AGNs W1<16.5,mid-IR,,W1 < 16.5 (≈0.078 mJy); |b|≥30°; plus Secrest et al. masks; ecliptic-latitude trend modelled,0.0151,0.0016,141.0,5.0,-6.0,6.0,238.4326941096269,29.932237492808586,7.792743099138619,1.9,1.07,0.00123,0.00729759,2.069176262300294,"Wagenveld et al. 2025 (A&A 697 A112), arXiv:2503.02470",x and α from Sec. 3.3; Table 1 includes ε=(9.2±0.4)×10^-4 for ecliptic-latitude trend.,1.2,From Dam et al. 2022/2023 CatWISE quasar sample: mean z≈1.2; 99% z>0.1; 61% z>1 (selection differs slightly).
LoTSS_DR2,baseline,"LoTSS-DR2 (NB estimator, direction fixed to CMB; Smin=5 mJy)",radio,144.0,Smin = 5 mJy (Table III); direction fixed to CMB ('CMB' row),0.0139,0.00435,167.94,90.0,-6.94,90.0,264.0150423892948,48.25545682610164,127.27922061357856,0.74,-0.73,0.00123,0.00405,3.432098765432099,"Böhme et al. 2025 (arXiv:2509.16732v1; PRL), Tables II–III","LoTSS-DR2 'Free' direction estimates are flagged as problematic in the paper; we therefore use the 'CMB' constrained estimator (Table III), which fixes the dipole direction to the CMB dipole and estimates only the amplitude. To avoid accidentally overweighting a fixed direction in Protocol D, RA/Dec uncertainties are set large (90°) so this tracer contributes mainly via amplitude.",1.0,Wide redshift distribution; not needed for Protocol D fit. | Shared radio z_mean=1 assumed (Protocol D-BAO v0 sensitivity scaffold).
NVSS,baseline,"NVSS (NB estimator, Free direction; Smin=20 mJy)",radio,1400.0,Smin = 20 mJy (Table III); galactic mask and standard cuts as in paper,0.0154,0.0036,148.1,13.5,-9.5,15.8,246.80700071436257,33.23175935112015,20.78196333362178,0.88,-0.73,0.00123,0.00435,3.540229885057472,"Böhme et al. 2025 (arXiv:2509.16732v1; PRL), Tables II–III",Using the negative-binomial (NB) estimator values for NVSS with a free dipole direction (Table III). For variant=2MRS_clean we keep identical numbers because this pack uses published summary estimates rather than catalog-level re-matching.,1.0,Wide redshift distribution; not needed for Protocol D fit. | Shared radio z_mean=1 assumed (Protocol D-BAO v0 sensitivity scaffold).
Quaia_G<20.0_pmSig_lt2_0p6_1p0,baseline,"Quaia (Gaia–unWISE quasars) G<20.0, pmSig_lt2, z∈[0.6,1.0)",optical+IR,,"G<20.0; pmSig_lt2; |b|≥30°; z∈[0.6,1.0)",0.018081577527363207,0.007280965119535412,198.7928675951767,,-2.9210446510164547,,314.6367476056161,59.410264912986825,24.269888407777966,1.4029236269493006,0.0,0.00123,0.00418559606114764,4.319952824689312,Zenodo Quaia bundle (Secrest/CatWISE-related); user-provided FITS + random_10x; dipole remeasured locally,Debiased by random_10x; sigma_mag combines mask-scan amplitude std + shot proxy sqrt(3/N); sigma_dir=max separation across |b|≥20/25/30 after cuts.,0.8180457891365732,z_mean from Quaia redshift_quaia within bin; used by BAO harness.
Quaia_G<20.0_pmSig_lt2_0p6_1p0,2MRS_clean,"Quaia (Gaia–unWISE quasars) G<20.0, pmSig_lt2, z∈[0.6,1.0)",optical+IR,,"G<20.0; pmSig_lt2; |b|≥30°; z∈[0.6,1.0)",0.018081577527363207,0.007280965119535412,198.7928675951767,,-2.9210446510164516,,314.6367476056161,59.410264912986825,24.269888407777966,1.4029236269493006,0.0,0.00123,0.00418559606114764,4.319952824689312,Zenodo Quaia bundle (Secrest/CatWISE-related); user-provided FITS + random_10x; dipole remeasured locally,Debiased by random_10x; sigma_mag combines mask-scan amplitude std + shot proxy sqrt(3/N); sigma_dir=max separation across |b|≥20/25/30 after cuts.,0.8180457891365732,z_mean from Quaia redshift_quaia within bin; used by BAO harness.
Quaia_G<20.0_pmSig_lt2_1p0_1p5,baseline,"Quaia (Gaia–unWISE quasars) G<20.0, pmSig_lt2, z∈[1.0,1.5)",optical+IR,,"G<20.0; pmSig_lt2; |b|≥30°; z∈[1.0,1.5)",0.02032611540959731,0.005967880312934136,215.28856673351794,,-6.896128795073044,,338.7262021950318,49.637401631455425,10.100323703954537,1.4029236269493006,0.0,0.00123,0.00418559606114764,4.856205690337002,Zenodo Quaia bundle (Secrest/CatWISE-related); user-provided FITS + random_10x; dipole remeasured locally,Debiased by random_10x; sigma_mag combines mask-scan amplitude std + shot proxy sqrt(3/N); sigma_dir=max separation across |b|≥20/25/30 after cuts.,1.2593244815869629,z_mean from Quaia redshift_quaia within bin; used by BAO harness.
Quaia_G<20.0_pmSig_lt2_1p0_1p5,2MRS_clean,"Quaia (Gaia–unWISE quasars) G<20.0, pmSig_lt2, z∈[1.0,1.5)",optical+IR,,"G<20.0; pmSig_lt2; |b|≥30°; z∈[1.0,1.5)",0.02032611540959731,0.005967880312934136,215.28856673351794,,-6.896128795073045,,338.7262021950318,49.637401631455425,10.100323703954537,1.4029236269493006,0.0,0.00123,0.00418559606114764,4.856205690337002,Zenodo Quaia bundle (Secrest/CatWISE-related); user-provided FITS + random_10x; dipole remeasured locally,Debiased by random_10x; sigma_mag combines mask-scan amplitude std + shot proxy sqrt(3/N); sigma_dir=max separation across |b|≥20/25/30 after cuts.,1.2593244815869629,z_mean from Quaia redshift_quaia within bin; used by BAO harness.
Quaia_G<20.0_pmSig_lt2_1p5_3p0,baseline,"Quaia (Gaia–unWISE quasars) G<20.0, pmSig_lt2, z∈[1.5,3.0)",optical+IR,,"G<20.0; pmSig_lt2; |b|≥30°; z∈[1.5,3.0)",0.02111643732643451,0.004173651559954427,201.63595286523503,,-3.7488974489412183,,319.61999973721584,57.98087853649593,7.9490563965935666,1.4029236269493006,0.0,0.00123,0.00418559606114764,5.0450251333246525,Zenodo Quaia bundle (Secrest/CatWISE-related); user-provided FITS + random_10x; dipole remeasured locally,Debiased by random_10x; sigma_mag combines mask-scan amplitude std + shot proxy sqrt(3/N); sigma_dir=max separation across |b|≥20/25/30 after cuts.,2.063375928734873,z_mean from Quaia redshift_quaia within bin; used by BAO harness.
Quaia_G<20.0_pmSig_lt2_1p5_3p0,2MRS_clean,"Quaia (Gaia–unWISE quasars) G<20.0, pmSig_lt2, z∈[1.5,3.0)",optical+IR,,"G<20.0; pmSig_lt2; |b|≥30°; z∈[1.5,3.0)",0.02111643732643451,0.004173651559954427,201.63595286523503,,-3.7488974489412215,,319.61999973721584,57.98087853649593,7.9490563965935666,1.4029236269493006,0.0,0.00123,0.00418559606114764,5.0450251333246525,Zenodo Quaia bundle (Secrest/CatWISE-related); user-provided FITS + random_10x; dipole remeasured locally,Debiased by random_10x; sigma_mag combines mask-scan amplitude std + shot proxy sqrt(3/N); sigma_dir=max separation across |b|≥20/25/30 after cuts.,2.063375928734873,z_mean from Quaia redshift_quaia within bin; used by BAO harness.
