pack,variant,N,model,template,k,chi2,aicc,dAICc,g_l,g_b,g_ang_to_cmb,s_l,s_b,s_ang_to_cmb,gamma,success,loo_std_ang,loo_mean_ang,loo_mean_l,loo_mean_b
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5.csv,baseline,3,BAO_P1,-,3,1.6486100015803316,12.448610001580331,-39.310677747348905,230.31497465556407,19.027758152434032,39.92439851256986,,,,,True,3.277497223209459,9.196995835681335,233.23295788941923,21.598048692891002
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5.csv,baseline,3,BAO_P1+SYS,radio,6,0.26566390559931874,54.26566390559932,2.506376156670079,238.3783052012956,25.86936514166995,30.043246693241727,338.35658145883565,42.621470820249726,50.393826181455516,0.00432661289406032,True,1.9629949633156738,6.207586723570141,239.83699901247806,28.306894184142656
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5.csv,2MRS_clean,3,BAO_P1,-,3,1.6486100015803316,12.448610001580331,-39.310677747348905,230.31497465556407,19.027758152434032,39.92439851256986,,,,,True,3.277497223209459,9.196995835681335,233.23295788941923,21.598048692891002
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5.csv,2MRS_clean,3,BAO_P1+SYS,radio,6,0.26566390559931874,54.26566390559932,2.506376156670079,238.3783052012956,25.86936514166995,30.043246693241727,338.35658145883565,42.621470820249726,50.393826181455516,0.00432661289406032,True,1.9629949633156738,6.207586723570141,239.83699901247806,28.306894184142656
protocol_d_input_pack_wagenveld2025_tier1__zradio_1p0__catwise_w1lt16p5.csv,baseline,3,BAO_P1,-,3,11.900359805251476,22.700359805251477,-41.95059332958262,238.48926208312565,35.37370792824535,22.80586090212308,,,,,True,9.874406368509392,17.215501811097543,240.79980728980027,37.913671975091965
protocol_d_input_pack_wagenveld2025_tier1__zradio_1p0__catwise_w1lt16p5.csv,baseline,3,BAO_P1+SYS,radio,6,3.6338754356953227,57.63387543569532,-7.017077699138774,248.47206826860491,45.36239792304141,11.006425632993643,13.254581469803725,40.28248104117321,71.63542455794217,0.008579519682441899,True,7.066430126568322,16.41849684579542,247.1228146407361,44.45536508788485
protocol_d_input_pack_wagenveld2025_tier1__zradio_1p0__catwise_w1lt16p5.csv,2MRS_clean,3,BAO_P1,-,3,12.9827400035585,23.7827400035585,-34.42495223176352,236.7010106784869,36.87520839187693,22.93671474373276,,,,,True,11.000194580170625,19.878700043699165,239.5265591453968,40.48513512112996
protocol_d_input_pack_wagenveld2025_tier1__zradio_1p0__catwise_w1lt16p5.csv,2MRS_clean,3,BAO_P1+SYS,radio,6,3.975134222135283,57.97513422213528,-0.23255801318673974,247.2160702913449,48.87471569726433,11.115908402284848,23.331003358441933,34.246919815795785,81.3480424638662,0.008908060274413763,True,8.421047950084663,19.2261095518064,245.65070456360843,47.80350392154215
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,baseline,6,BAO_P1,-,3,40.285904948207005,48.00019066249272,-37.81150271144629,256.7976001084724,44.30206627983857,6.36208105807845,,,,,True,12.657193676941123,13.307691083162796,258.92836266047266,45.512117683987604
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,baseline,6,BAO_P1+SYS,radio,6,38.49040350748148,58.126767143845115,-27.684926230093893,250.62654499324273,38.901226546197265,13.439975347444593,216.82089986717924,-13.990633630959556,75.01286944075376,0.0050585374283171535,True,11.66402684194069,12.674044086579245,254.30383584874832,41.70754220810509
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,baseline,6,BAO_P1+SYS,quaia,6,4.102393941201801,23.738757577565437,-62.07293579637357,289.98241959527735,55.64704427610104,17.489988905560576,10.709827123356945,34.53837462369188,74.60378893859658,0.01938191123507401,True,2.1061427879914243,9.716698857482314,289.11338506482326,55.35320592279374
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,2MRS_clean,6,BAO_P1,-,3,40.285904948207005,48.00019066249272,-37.81150271144629,256.7976001084724,44.30206627983857,6.36208105807845,,,,,True,12.657193676941123,13.307691083162796,258.92836266047266,45.512117683987604
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,2MRS_clean,6,BAO_P1+SYS,radio,6,38.49040350748148,58.126767143845115,-27.684926230093893,250.62654499324273,38.901226546197265,13.439975347444593,216.82089986717924,-13.990633630959556,75.01286944075376,0.0050585374283171535,True,11.66402684194069,12.674044086579245,254.30383584874832,41.70754220810509
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,2MRS_clean,6,BAO_P1+SYS,quaia,6,4.102393941201801,23.738757577565437,-62.07293579637357,289.98241959527735,55.64704427610104,17.489988905560576,10.709827123356945,34.53837462369188,74.60378893859658,0.01938191123507401,True,2.1061427879914243,9.716698857482314,289.11338506482326,55.35320592279374
protocol_d_input_pack_wagenveld2025_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,baseline,6,BAO_P1,-,3,43.30600881868398,51.02029453296969,-47.68306422687417,263.19211778920067,51.11744097656735,2.914155306468426,,,,,True,8.878476255511913,11.20657225140266,264.37781301707105,51.50146861482937
protocol_d_input_pack_wagenveld2025_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,baseline,6,BAO_P1+SYS,radio,6,42.73722723822557,62.37359087458921,-36.329767885254654,262.01418431259447,50.927112038724495,2.9734819731835653,328.0265752527443,83.80430231502666,39.35518417010365,0.0019225490966789445,True,10.001482635118416,12.1410275326783,264.5354050757819,51.82188069702274
protocol_d_input_pack_wagenveld2025_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,baseline,6,BAO_P1+SYS,quaia,6,13.031570019254143,32.66793365561778,-66.03542510422608,301.86246363098303,58.495585255465755,24.370715179152562,8.99324880076972,33.64547565101729,74.32563344990157,0.01727850626805434,True,3.2607416701436946,7.3468191004537085,301.5891275893721,58.49189196753532
protocol_d_input_pack_wagenveld2025_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,2MRS_clean,6,BAO_P1,-,3,43.63778038393713,51.35206609822284,-40.90803176210894,263.36488845358735,52.76100159911033,4.527218803312751,,,,,True,9.752539375878644,11.849257932919379,264.69751798554023,53.11699996321238
protocol_d_input_pack_wagenveld2025_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,2MRS_clean,6,BAO_P1+SYS,radio,6,43.12144736764897,62.75781100401261,-29.502286856319174,262.96104271703666,53.18023336257892,4.97257463107504,66.6339397365403,42.881607701984734,87.5874372477779,0.0020148511127415624,True,10.45048759812324,12.41450087880452,265.3705760830742,53.824355766437534
protocol_d_input_pack_wagenveld2025_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins.csv,2MRS_clean,6,BAO_P1+SYS,quaia,6,13.988511047699436,33.62487468406307,-58.63522317626871,304.6387636375196,59.34384532354858,25.904064902889967,7.083319713423066,34.35369933232354,72.73558165499549,0.017196458769645526,True,3.5718597536547683,7.327084952723129,304.46835803143466,59.36888980363671
