pack,variant,case,N,dAICc,g_l,g_b,ang_to_CMB_deg,loo_mean_ang_deg,loo_std_ang_deg,beta
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins,baseline,nonQuaia_only,3,-39.20414195616492,230.2930156403969,18.862218226571425,40.07177566788232,,,0.24032319513766437
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins,baseline,+low,4,-39.569446625257015,234.994527542106,25.574069088565736,32.08717434862129,11.133314027604625,14.632500978851509,0.22443624462631478
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins,baseline,+mid,4,-32.62246616520543,239.22937468112042,28.49891775779134,27.473675699441547,16.67592883532228,22.9292946956615,0.20136240923889726
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins,baseline,+high,4,-38.4749188908471,240.53209752157903,31.904442917577963,24.114811380066158,15.741634906185729,20.068793087710304,0.2174693265219494
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins,baseline,+low+mid,5,-34.22677772714537,244.61378915742756,34.40150708391111,19.998114489861866,14.102381173322769,18.933210112583346,0.19649101064289548
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins,baseline,+mid+high,5,-34.95765160908829,251.47105333392162,40.304801182859094,11.968693315831203,15.801550272353953,18.36600252312944,0.1983739883831718
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins,baseline,+all,6,-37.49411425153155,256.61192671633466,44.09302530158067,6.600053928706514,12.746772573781683,15.020201755280922,0.19939119164773125
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins,baseline,Quaia_only_all3,3,-18.77337958876728,342.80676880593194,51.16142972996293,48.520571963204695,,,0.437816988866529
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins,2MRS_clean,nonQuaia_only,3,-39.20414195616492,230.2930156403969,18.862218226571425,40.07177566788232,,,0.24032319513766437
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins,2MRS_clean,+low,4,-39.569446625257015,234.994527542106,25.574069088565736,32.08717434862129,11.133314027604625,14.632500978851509,0.22443624462631478
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins,2MRS_clean,+mid,4,-32.62246616520543,239.22937468112042,28.49891775779134,27.473675699441547,16.67592883532228,22.9292946956615,0.20136240923889726
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins,2MRS_clean,+high,4,-38.4749188908471,240.53209752157903,31.904442917577963,24.114811380066158,15.741634906185729,20.068793087710304,0.2174693265219494
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins,2MRS_clean,+low+mid,5,-34.22677772714537,244.61378915742756,34.40150708391111,19.998114489861866,14.102381173322769,18.933210112583346,0.19649101064289548
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins,2MRS_clean,+mid+high,5,-34.95765160908829,251.47105333392162,40.304801182859094,11.968693315831203,15.801550272353953,18.36600252312944,0.1983739883831718
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins,2MRS_clean,+all,6,-37.49411425153155,256.61192671633466,44.09302530158067,6.600053928706514,12.746772573781683,15.020201755280922,0.19939119164773125
protocol_d_input_pack_boehme2025_lotss_dr2_swap_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins,2MRS_clean,Quaia_only_all3,3,-18.77337958876728,342.80676880593194,51.16142972996293,48.520571963204695,,,0.437816988866529
protocol_d_input_pack_wagenveld2025_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins,baseline,nonQuaia_only,3,-41.71787970250783,238.85054449987535,35.72800101161406,22.350295287029745,,,0.2183123154390458
protocol_d_input_pack_wagenveld2025_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins,baseline,+low,4,-44.49436568132936,243.17891479802154,39.82090573593506,17.112925510426592,13.398110879864616,12.331872077483013,0.2130934036610034
protocol_d_input_pack_wagenveld2025_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins,baseline,+mid,4,-39.05107177583032,248.6632631879936,42.842769393470675,12.009906269742075,16.733789845181658,14.004069138561027,0.19856389628732102
protocol_d_input_pack_wagenveld2025_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins,baseline,+high,4,-45.427339870484076,248.90287329404381,44.12483762983206,11.227014316948022,15.10138955888795,11.931308889177437,0.2136003967862079
protocol_d_input_pack_wagenveld2025_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins,baseline,+low+mid,5,-42.11174839259413,253.32007764023584,45.98228976074296,7.620280048449641,13.193969145543246,12.187289269584195,0.19823325428323646
protocol_d_input_pack_wagenveld2025_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins,baseline,+mid+high,5,-44.28487528466739,259.81094054315366,49.47337101163403,3.0260121788397996,13.64200112989847,10.997818951050878,0.20352300993018524
protocol_d_input_pack_wagenveld2025_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins,baseline,+all,6,-47.61430974943545,264.0538853301646,51.388823004132526,3.1358946866433146,10.854181320319315,9.864125109241236,0.20509340178110563
protocol_d_input_pack_wagenveld2025_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins,baseline,Quaia_only_all3,3,-18.77337958876728,342.80676880593194,51.16142972996293,48.520571963204695,,,0.437816988866529
protocol_d_input_pack_wagenveld2025_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins,2MRS_clean,nonQuaia_only,3,-34.16403632254857,237.02091012498414,37.276568304995344,22.488288986788216,,,0.20285475880368414
protocol_d_input_pack_wagenveld2025_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins,2MRS_clean,+low,4,-37.1089788068287,241.72817998492457,41.451156378962025,17.125822823830617,14.960775172813754,14.28245950743131,0.1985881823810182
protocol_d_input_pack_wagenveld2025_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins,2MRS_clean,+mid,4,-32.17199761681273,247.46943803699332,44.6033999684484,11.95009117239001,18.310556785603957,15.959677440893978,0.18449044380950855
protocol_d_input_pack_wagenveld2025_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins,2MRS_clean,+high,4,-38.078645789198845,247.83403866230464,45.80595552775824,11.278599465831888,16.441372815392537,13.593938305020524,0.19941170583250195
protocol_d_input_pack_wagenveld2025_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins,2MRS_clean,+low+mid,5,-35.30836705992584,252.59092824767907,47.765496404614844,7.655254224968239,14.261311927130356,13.712971922774866,0.18498522579513216
protocol_d_input_pack_wagenveld2025_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins,2MRS_clean,+mid+high,5,-37.438884211368496,259.5848244022076,51.20811034212994,4.116213943960501,14.522434959838648,12.188636183667676,0.19048433641173584
protocol_d_input_pack_wagenveld2025_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins,2MRS_clean,+all,6,-40.81307496984939,264.2590352594085,53.055682170567295,4.805045064243378,11.475938324988261,10.81417664327803,0.19274558171263556
protocol_d_input_pack_wagenveld2025_tier1__zradio_1p0__catwise_w1lt16p5__quaiaG20p0_pmSiglt2_zbins,2MRS_clean,Quaia_only_all3,3,-18.77337958876728,342.80676880593194,51.16142972996293,48.520571963204695,,,0.437816988866529
