pack,variant,model,N_total,chi2,AICc,k,dAICc_vs_null,BAO_AICc,AICc_vs_BAO,core_ang_to_CMB,core_ang_to_nonQuaia,sys_ang_to_CMB,g_l,g_b,s_l,s_b,quaia_corr_r,quaia_corr_p,quaia_R2,quaia_slope,quaia_intercept,feats,a_1,a_bmin_c,a_mag_c,a_pm_sig,a_pm_tot,a_pm_none,a_is_pmcut,a_z_c
boehme,baseline,O0_intercept,30,35.39039809066478,48.402446283435864,6,-602.4772587859707,169.96426181176713,-121.56181552833127,39.60172548363822,1.9365763344053497,75.6891570721205,232.20999517641758,18.19388466747553,18.420637050767517,38.3477248657683,,,0.0,0.0,0.018530416329514746,1,0.018363661776408698,,,,,,,
boehme,baseline,O1_bmin,30,31.08604816070336,46.45190181923994,7,-604.4278032501666,169.96426181176713,-123.5123599925272,39.62529664604885,0.6608835908313234,75.97211981826332,230.98540719806078,18.94992971358611,18.299428856740708,37.90850291750188,0.48555216155676206,0.010244929701256596,0.23576090159244378,0.938652751451909,0.0011832645093338076,"1,bmin_c",0.0180585025323368,-0.0005707634494601483,,,,,,
boehme,baseline,O2_bmin_mag,30,27.988552133999338,45.76632991177711,8,-605.1133751576294,169.96426181176713,-124.19793189999001,38.602193583225024,2.08121011140661,77.62858946683527,232.4586177261109,19.23812346612781,20.052046550042476,36.89668159161004,0.6691950079703436,0.0001352034950022012,0.4478219586924279,1.0249875214355397,-0.0003113634674292952,"1,bmin_c,mag_c",0.016824559210560076,-0.0006727004318861034,0.005620894272432035,,,,,
boehme,baseline,O3_bmin_mag_pm,30,23.225552849060474,51.27750090100853,12,-599.602204168398,169.96426181176713,-118.68676091075861,38.85340806671864,1.9407108278013798,77.61929969900122,232.33870143506977,19.011579455127105,19.937759847859006,36.8375295539125,0.8129684731076419,2.567137135097287e-07,0.6609177382669704,1.0428900153549021,-0.00095487386625202,"1,bmin_c,mag_c,pm_sig,pm_tot,pm_none,is_pmcut",0.01838997681622808,-0.0005637534751661201,0.0068714491179725865,0.0003391751343717428,-0.00010875650061075486,-0.0021029745332698324,-0.003082239292999614,
boehme,baseline,O4_full_plus_z,30,22.84998690909832,53.63946059330885,13,-597.2402444760977,169.96426181176713,-116.32480121845828,39.78298766128292,1.3213353030281982,77.96671652293355,231.58700317361965,18.370107419594575,20.002662535532586,36.43835586414329,0.8182973482623832,1.8446633139566385e-07,0.6696105501732479,0.9992063805738609,-0.00028946815090232295,"1,bmin_c,mag_c,pm_sig,pm_tot,pm_none,z_c,is_pmcut",0.019894083108478906,-0.0005583326794980479,0.007115592929309843,0.0003536877713630195,-9.777601647643336e-05,-0.0020780724951181915,-0.003271024742126134,-0.0022556652910144773
boehme,2MRS_clean,O0_intercept,30,35.41865101398463,48.43069920675571,6,-598.3906670291786,168.80132018755555,-120.37062098079983,39.52462980717539,1.8916641944089632,75.7547018546914,232.15770464826238,18.31912961317937,18.301571161091104,38.188633616602324,,,0.0,-0.3849001794597505,0.025593006210535188,1,0.018369295140729967,,,,,,,
boehme,2MRS_clean,O1_bmin,30,31.07076722823586,46.436620886772445,7,-600.3847453491619,168.80132018755555,-122.3646993007831,39.54420397536623,0.6384629597469018,76.03374159619283,230.96466833365002,19.06220525659181,18.194530307943594,37.7630334012629,0.4864870261232675,0.010078401714247204,0.23666962658626078,0.9351964373075992,0.0012406161635084845,"1,bmin_c",0.018052756922807795,-0.0005745828590450736,,,,,,
boehme,2MRS_clean,O2_bmin_mag,30,27.966350833759147,45.74412861153693,8,-601.0772376243974,168.80132018755555,-123.05719157601862,38.51998983965592,2.0514694193412955,77.7018788257463,232.43143649631804,19.354599725354273,19.96961665756379,36.752804785388065,0.6694023612241063,0.0001343205485879971,0.4480995212124088,1.017650734070289,-0.00018198462333704132,"1,bmin_c,mag_c",0.016811886297007056,-0.0006790080384536522,0.005654997863784372,,,,,
boehme,2MRS_clean,O3_bmin_mag_pm,30,23.29557111554086,51.34751916748891,12,-595.4738470684454,168.80132018755555,-117.45380102006663,38.73035726770491,1.9146433255166637,77.72072801147546,232.30977899359112,19.178311316522276,19.917014123137402,36.69624704626983,0.812815527097451,2.5912055171697463e-07,0.660669081090707,1.0413893534305372,-0.0009226372393633837,"1,bmin_c,mag_c,pm_sig,pm_tot,pm_none,is_pmcut",0.01836651537151023,-0.0005690095593895058,0.006858731383172938,0.00033988482101781926,-0.00011177500246870893,-0.0020931198463331672,-0.0030696129993728555,
boehme,2MRS_clean,O4_full_plus_z,30,22.925933877589156,53.71540756179969,13,-593.1059586741346,168.80132018755555,-115.08591262575587,39.65141343660256,1.3008392787236864,78.0711624015029,231.57784581508406,18.5346357766402,19.99764692656609,36.30317906952946,0.8184427189864132,1.8278346874244678e-07,0.6698484842618728,0.9981449214289833,-0.00026799278453106326,"1,bmin_c,mag_c,pm_sig,pm_tot,pm_none,z_c,is_pmcut",0.019867642456782592,-0.0005631372028451797,0.007109530493960374,0.0003554701452620492,-0.00010007239166013622,-0.0020673703916061614,-0.003266797214615714,-0.002242526009640915
wagenveld,baseline,O0_intercept,30,45.40261007776823,58.41465827053931,6,-601.7887718279694,178.6116594320675,-120.19700116152819,22.504712460453362,1.549066026670299,75.63021242408536,239.87183782755451,34.6151165106767,17.301184928982508,37.71079604534879,,,0.0,0.0,0.016088234293564915,1,0.015994210885675982,,,,,,,
wagenveld,baseline,O1_bmin,30,40.95743131565468,56.32328497419127,7,-603.8801451243176,178.6116594320675,-122.28837445787624,22.7882903232749,0.31111123326245005,75.98508770267142,238.57502160187673,35.322964600868346,17.248995732940674,37.21965468367071,0.5079619481176763,0.0068305001418784254,0.25802534073550476,0.9502939744913256,0.0007826261754245549,"1,bmin_c",0.015680741741980288,-0.0005815951864353751,,,,,,
wagenveld,baseline,O2_bmin_mag,30,37.805228869230355,55.58300664700813,8,-604.6204234515006,178.6116594320675,-123.02865278505938,22.178269727946383,1.5117019516119845,77.93068462054346,239.99301380731077,34.98026161179181,19.293807121489433,36.039403937042394,0.6865531302257395,7.67249343286777e-05,0.47135520062276104,1.0153272910089322,-0.00017987467216578137,"1,bmin_c,mag_c",0.01446225846479043,-0.0006887993757761797,0.005728889358822799,,,,,
wagenveld,baseline,O3_bmin_mag_pm,30,33.22811925274225,61.280067304690306,12,-598.9233627938185,178.6116594320675,-117.3315921273772,22.354679980890147,1.517525751232943,77.90605110960938,239.9246627667577,34.784969703787596,19.200613987309904,36.01173852059658,0.8149111051145803,2.2785185460367251e-07,0.6640801092390665,1.026129383768074,-0.000652247482439472,"1,bmin_c,mag_c,pm_sig,pm_tot,pm_none,is_pmcut",0.01598746489762008,-0.0005793286026365747,0.006842228613002585,0.0003515397140446782,-0.0001113557768421125,-0.0020797156742147606,-0.003019853719016496,
wagenveld,baseline,O4_full_plus_z,30,33.142037179526724,63.93151086373725,13,-596.2719192347715,178.6116594320675,-114.68014856833025,22.789818795446816,1.3531482684815774,78.1250944820892,239.50954870938656,34.51172054515612,19.261091833463617,35.77201463638388,0.8129188126166439,2.5749297341790504e-07,0.6608369959060543,1.00379450761328,-0.00036360143512573564,"1,bmin_c,mag_c,pm_sig,pm_tot,pm_none,z_c,is_pmcut",0.01668645228047228,-0.0005770138949780549,0.006967995554528334,0.0003585431019999444,-0.00010628560904619752,-0.002069620625557311,-0.0031133387311074482,-0.0010769280673324608
wagenveld,2MRS_clean,O0_intercept,30,46.25090972354046,59.26295791631154,6,-599.2678468453161,179.72918326604838,-120.46622534973685,21.638393157077388,1.6689131061911844,73.71330955381994,239.23375885158532,36.45383842714082,15.276261702339397,38.88283074194124,,,0.0,0.0,0.01585245405238255,1,0.01579456662294261,,,,,,,
wagenveld,2MRS_clean,O1_bmin,30,41.80925398807146,57.17510764660805,7,-601.3556971150196,179.72918326604838,-122.55407561944034,22.0669134281582,0.38319658244713606,74.0587539525024,237.81687193512948,37.1515983349112,15.239691077913431,38.40610951201727,0.5194974467214049,0.0054854280564358825,0.2698775971500589,0.9821253398375746,0.00023964651239437133,"1,bmin_c",0.015486082422011247,-0.0005682007548903256,,,,,,
wagenveld,2MRS_clean,O2_bmin_mag,30,38.97209893289998,56.74987671067776,8,-601.7809280509498,179.72918326604838,-122.97930655537061,21.475099424168622,1.622441053100963,75.92469363321051,239.27508338720907,36.66600311014734,17.253315261091593,37.300274973031485,0.6869381113229774,7.573433668353896e-05,0.47188396878797934,1.0427664952631246,-0.0006241235628106703,"1,bmin_c,mag_c",0.014332094764291373,-0.0006678800069847439,0.00536547591192897,,,,,
wagenveld,2MRS_clean,O3_bmin_mag_pm,30,34.42228015220632,62.47422820415437,12,-596.0565765574731,179.72918326604838,-117.25495506189401,21.63977681613032,1.69008390544781,75.97365779014174,239.25178691732646,36.434933154706115,17.26077514989788,37.24200346846477,0.8141558979883965,2.3870393953359103e-07,0.6628498262292921,1.0389504579618598,-0.0008690107445886233,"1,bmin_c,mag_c,pm_sig,pm_tot,pm_none,is_pmcut",0.015830480942858393,-0.000562035287535241,0.006544501442473646,0.0003552776634647421,-8.829348693587842e-05,-0.0019858959777486196,-0.003020861111852555,
wagenveld,2MRS_clean,O4_full_plus_z,30,34.371044045783165,65.16051772999369,13,-593.3702870316339,179.72918326604838,-114.5686655360547,22.016731349270522,1.5575721400476772,76.14730550027016,238.88288589336705,36.20232506123115,17.301803966344842,37.044886919737145,0.8117418465320303,2.765985990341857e-07,0.6589248254112301,1.0205575061434407,-0.0006315430161018924,"1,bmin_c,mag_c,pm_sig,pm_tot,pm_none,z_c,is_pmcut",0.016369811196871614,-0.0005603429831720144,0.00664197667403356,0.000361088330252952,-8.418285447394847e-05,-0.001977109069412438,-0.003091873623832807,-0.0008355498402074858
