pack,variant,model,obs_name,bmin,mag_num,pm_sig_max,pm_tot_max,pm_is_none,z_mean,amp_pred,proj_meas
boehme,baseline,O0_intercept,Quaia_G<20.0_pmSig_lt2_0p6_1p0,,,,,0,0.8180457891365732,0.018363661776408698,0.016934445042375432
boehme,baseline,O0_intercept,Quaia_G<20.0_pmSig_lt2_1p0_1p5,,,,,0,1.2593244815869629,0.018363661776408698,0.02025479162074008
boehme,baseline,O0_intercept,Quaia_G<20.0_pmSig_lt2_1p5_3p0,,,,,0,2.063375928734873,0.018363661776408698,0.01738028428863744
boehme,baseline,O0_intercept,Quaia_maskscan_G20.0_bmin20,20.0,,,,0,1.5216184854507446,0.018363661776408698,0.021166146642978223
boehme,baseline,O0_intercept,Quaia_maskscan_G20.0_bmin25,25.0,,,,0,1.525849223136902,0.018363661776408698,0.018389529142534364
boehme,baseline,O0_intercept,Quaia_maskscan_G20.0_bmin30,30.0,,,,0,1.529037594795227,0.018363661776408698,0.01447415135913538
boehme,baseline,O0_intercept,Quaia_maskscan_G20.0_bmin35,35.0,,,,0,1.531247854232788,0.018363661776408698,0.012945690134623282
boehme,baseline,O0_intercept,Quaia_maskscan_G20.5_bmin20,20.0,,,,0,1.5471723079681396,0.018363661776408698,0.026143623963278753
boehme,baseline,O0_intercept,Quaia_maskscan_G20.5_bmin25,25.0,,,,0,1.5523033142089844,0.018363661776408698,0.022472272137685205
boehme,baseline,O0_intercept,Quaia_maskscan_G20.5_bmin30,30.0,,,,0,1.55604088306427,0.018363661776408698,0.01968817476521119
boehme,baseline,O0_intercept,Quaia_maskscan_G20.5_bmin35,35.0,,,,0,1.5588762760162354,0.018363661776408698,0.01805687223838477
boehme,baseline,O0_intercept,Quaia_pmcut_G20.0_bmin30_pm_tot<1&pm_sig<2,30.0,20.0,2.0,1.0,0,1.529037594795227,0.018363661776408698,0.01750073497612222
boehme,baseline,O0_intercept,Quaia_pmcut_G20.0_bmin30_pm_sig<2,30.0,20.0,2.0,,0,1.529037594795227,0.018363661776408698,0.017966069321736403
boehme,baseline,O0_intercept,Quaia_pmcut_G20.0_bmin30_pm_tot<0.5,30.0,20.0,,0.5,0,1.529037594795227,0.018363661776408698,0.013944389227584123
boehme,baseline,O0_intercept,Quaia_pmcut_G20.0_bmin30_pm_sig<3,30.0,20.0,3.0,,0,1.529037594795227,0.018363661776408698,0.014022136686887511
boehme,baseline,O0_intercept,Quaia_pmcut_G20.0_bmin30_pm_tot<1,30.0,20.0,,1.0,0,1.529037594795227,0.018363661776408698,0.012949902596864106
boehme,baseline,O0_intercept,Quaia_pmcut_G20.0_bmin30_none,30.0,20.0,,,1,1.529037594795227,0.018363661776408698,0.01274566330856166
boehme,baseline,O0_intercept,Quaia_pmcut_G20.5_bmin30_pm_tot<0.5,30.0,20.5,,0.5,0,1.55604088306427,0.018363661776408698,0.01920804035082792
boehme,baseline,O0_intercept,Quaia_pmcut_G20.5_bmin30_pm_sig<2,30.0,20.5,2.0,,0,1.55604088306427,0.018363661776408698,0.021901605619012072
boehme,baseline,O0_intercept,Quaia_pmcut_G20.5_bmin30_pm_tot<1&pm_sig<2,30.0,20.5,2.0,1.0,0,1.55604088306427,0.018363661776408698,0.02131911933833773
boehme,baseline,O0_intercept,Quaia_pmcut_G20.5_bmin30_pm_sig<3,30.0,20.5,3.0,,0,1.55604088306427,0.018363661776408698,0.018697756640242917
boehme,baseline,O0_intercept,Quaia_pmcut_G20.5_bmin30_pm_tot<1&pm_sig<3,30.0,20.5,3.0,1.0,0,1.55604088306427,0.018363661776408698,0.01869055170684781
boehme,baseline,O0_intercept,Quaia_pmcut_G20.5_bmin30_none,30.0,20.5,,,1,1.55604088306427,0.018363661776408698,0.017116549476027997
boehme,baseline,O0_intercept,Quaia_pmcut_G20.5_bmin30_pm_tot<1,30.0,20.5,,1.0,0,1.55604088306427,0.018363661776408698,0.018212409154867312
boehme,baseline,O0_intercept,Quaia_G20.5_pmSiglt2_z0p6p1p0,30.0,20.5,2.0,,0,0.8184481912564778,0.018363661776408698,0.026625969493732086
boehme,baseline,O0_intercept,Quaia_G20.5_pmSiglt2_z1p0p1p5,30.0,20.5,2.0,,0,1.2607082545033923,0.018363661776408698,0.019412620240889376
boehme,baseline,O0_intercept,Quaia_G20.5_pmSiglt2_z1p5p3p0,30.0,20.5,2.0,,0,2.057584213322741,0.018363661776408698,0.022101741422772735
boehme,baseline,O1_bmin,Quaia_G<20.0_pmSig_lt2_0p6_1p0,,,,,0,0.8180457891365732,0.0180585025323368,0.01694688127862179
boehme,baseline,O1_bmin,Quaia_G<20.0_pmSig_lt2_1p0_1p5,,,,,0,1.2593244815869629,0.0180585025323368,0.020282224116644126
boehme,baseline,O1_bmin,Quaia_G<20.0_pmSig_lt2_1p5_3p0,,,,,0,2.063375928734873,0.0180585025323368,0.017364447362823263
boehme,baseline,O1_bmin,Quaia_maskscan_G20.0_bmin20,20.0,,,,0,1.5216184854507446,0.023766137026938285,0.02117922175747725
boehme,baseline,O1_bmin,Quaia_maskscan_G20.0_bmin25,25.0,,,,0,1.525849223136902,0.02091231977963754,0.01839212231778127
boehme,baseline,O1_bmin,Quaia_maskscan_G20.0_bmin30,30.0,,,,0,1.529037594795227,0.0180585025323368,0.014458923205772847
boehme,baseline,O1_bmin,Quaia_maskscan_G20.0_bmin35,35.0,,,,0,1.531247854232788,0.01520468528503606,0.012908320391155428
boehme,baseline,O1_bmin,Quaia_maskscan_G20.5_bmin20,20.0,,,,0,1.5471723079681396,0.023766137026938285,0.026183579941729915
boehme,baseline,O1_bmin,Quaia_maskscan_G20.5_bmin25,25.0,,,,0,1.5523033142089844,0.02091231977963754,0.022489335853189657
boehme,baseline,O1_bmin,Quaia_maskscan_G20.5_bmin30,30.0,,,,0,1.55604088306427,0.0180585025323368,0.01968215263170548
boehme,baseline,O1_bmin,Quaia_maskscan_G20.5_bmin35,35.0,,,,0,1.5588762760162354,0.01520468528503606,0.01801810984874072
boehme,baseline,O1_bmin,Quaia_pmcut_G20.0_bmin30_pm_tot<1&pm_sig<2,30.0,20.0,2.0,1.0,0,1.529037594795227,0.0180585025323368,0.01750607825781928
boehme,baseline,O1_bmin,Quaia_pmcut_G20.0_bmin30_pm_sig<2,30.0,20.0,2.0,,0,1.529037594795227,0.0180585025323368,0.01796633605015708
boehme,baseline,O1_bmin,Quaia_pmcut_G20.0_bmin30_pm_tot<0.5,30.0,20.0,,0.5,0,1.529037594795227,0.0180585025323368,0.013945200449056953
boehme,baseline,O1_bmin,Quaia_pmcut_G20.0_bmin30_pm_sig<3,30.0,20.0,3.0,,0,1.529037594795227,0.0180585025323368,0.01401002780386934
boehme,baseline,O1_bmin,Quaia_pmcut_G20.0_bmin30_pm_tot<1,30.0,20.0,,1.0,0,1.529037594795227,0.0180585025323368,0.012934813357055555
boehme,baseline,O1_bmin,Quaia_pmcut_G20.0_bmin30_none,30.0,20.0,,,1,1.529037594795227,0.0180585025323368,0.012735408354182938
boehme,baseline,O1_bmin,Quaia_pmcut_G20.5_bmin30_pm_tot<0.5,30.0,20.5,,0.5,0,1.55604088306427,0.0180585025323368,0.019198723361884076
boehme,baseline,O1_bmin,Quaia_pmcut_G20.5_bmin30_pm_sig<2,30.0,20.5,2.0,,0,1.55604088306427,0.0180585025323368,0.021912492989244567
boehme,baseline,O1_bmin,Quaia_pmcut_G20.5_bmin30_pm_tot<1&pm_sig<2,30.0,20.5,2.0,1.0,0,1.55604088306427,0.0180585025323368,0.021315599607790562
boehme,baseline,O1_bmin,Quaia_pmcut_G20.5_bmin30_pm_sig<3,30.0,20.5,3.0,,0,1.55604088306427,0.0180585025323368,0.01869924714236271
boehme,baseline,O1_bmin,Quaia_pmcut_G20.5_bmin30_pm_tot<1&pm_sig<3,30.0,20.5,3.0,1.0,0,1.55604088306427,0.0180585025323368,0.0186699213649135
boehme,baseline,O1_bmin,Quaia_pmcut_G20.5_bmin30_none,30.0,20.5,,,1,1.55604088306427,0.0180585025323368,0.017124771394418103
boehme,baseline,O1_bmin,Quaia_pmcut_G20.5_bmin30_pm_tot<1,30.0,20.5,,1.0,0,1.55604088306427,0.0180585025323368,0.018190835708813288
boehme,baseline,O1_bmin,Quaia_G20.5_pmSiglt2_z0p6p1p0,30.0,20.5,2.0,,0,0.8184481912564778,0.0180585025323368,0.02666781662939768
boehme,baseline,O1_bmin,Quaia_G20.5_pmSiglt2_z1p0p1p5,30.0,20.5,2.0,,0,1.2607082545033923,0.0180585025323368,0.019466049540157782
boehme,baseline,O1_bmin,Quaia_G20.5_pmSiglt2_z1p5p3p0,30.0,20.5,2.0,,0,2.057584213322741,0.0180585025323368,0.02208237808566521
boehme,baseline,O2_bmin_mag,Quaia_G<20.0_pmSig_lt2_0p6_1p0,,,,,0,0.8180457891365732,0.016824559210560076,0.016948729349068024
boehme,baseline,O2_bmin_mag,Quaia_G<20.0_pmSig_lt2_1p0_1p5,,,,,0,1.2593244815869629,0.016824559210560076,0.020273629198069833
boehme,baseline,O2_bmin_mag,Quaia_G<20.0_pmSig_lt2_1p5_3p0,,,,,0,2.063375928734873,0.016824559210560076,0.017198346278423416
boehme,baseline,O2_bmin_mag,Quaia_maskscan_G20.0_bmin20,20.0,,,,0,1.5216184854507446,0.02355156352942111,0.021014733368194396
boehme,baseline,O2_bmin_mag,Quaia_maskscan_G20.0_bmin25,25.0,,,,0,1.525849223136902,0.020188061369990594,0.01826994644853857
boehme,baseline,O2_bmin_mag,Quaia_maskscan_G20.0_bmin30,30.0,,,,0,1.529037594795227,0.016824559210560076,0.014347389966797162
boehme,baseline,O2_bmin_mag,Quaia_maskscan_G20.0_bmin35,35.0,,,,0,1.531247854232788,0.01346105705112956,0.01282372344800979
boehme,baseline,O2_bmin_mag,Quaia_maskscan_G20.5_bmin20,20.0,,,,0,1.5471723079681396,0.02355156352942111,0.02616760286020134
boehme,baseline,O2_bmin_mag,Quaia_maskscan_G20.5_bmin25,25.0,,,,0,1.5523033142089844,0.020188061369990594,0.02248931804262384
boehme,baseline,O2_bmin_mag,Quaia_maskscan_G20.5_bmin30,30.0,,,,0,1.55604088306427,0.016824559210560076,0.019692868519519655
boehme,baseline,O2_bmin_mag,Quaia_maskscan_G20.5_bmin35,35.0,,,,0,1.5588762760162354,0.01346105705112956,0.018012174780933386
boehme,baseline,O2_bmin_mag,Quaia_pmcut_G20.0_bmin30_pm_tot<1&pm_sig<2,30.0,20.0,2.0,1.0,0,1.529037594795227,0.016824559210560076,0.017436187681040837
boehme,baseline,O2_bmin_mag,Quaia_pmcut_G20.0_bmin30_pm_sig<2,30.0,20.0,2.0,,0,1.529037594795227,0.016824559210560076,0.017868185794737142
boehme,baseline,O2_bmin_mag,Quaia_pmcut_G20.0_bmin30_pm_tot<0.5,30.0,20.0,,0.5,0,1.529037594795227,0.016824559210560076,0.013988934271499106
boehme,baseline,O2_bmin_mag,Quaia_pmcut_G20.0_bmin30_pm_sig<3,30.0,20.0,3.0,,0,1.529037594795227,0.016824559210560076,0.013895818718520433
boehme,baseline,O2_bmin_mag,Quaia_pmcut_G20.0_bmin30_pm_tot<1,30.0,20.0,,1.0,0,1.529037594795227,0.016824559210560076,0.012861883526628705
boehme,baseline,O2_bmin_mag,Quaia_pmcut_G20.0_bmin30_none,30.0,20.0,,,1,1.529037594795227,0.016824559210560076,0.012607079387978943
boehme,baseline,O2_bmin_mag,Quaia_pmcut_G20.5_bmin30_pm_tot<0.5,30.0,20.5,,0.5,0,1.55604088306427,0.019635006346776094,0.01931472348906651
boehme,baseline,O2_bmin_mag,Quaia_pmcut_G20.5_bmin30_pm_sig<2,30.0,20.5,2.0,,0,1.55604088306427,0.019635006346776094,0.021972566943589608
boehme,baseline,O2_bmin_mag,Quaia_pmcut_G20.5_bmin30_pm_tot<1&pm_sig<2,30.0,20.5,2.0,1.0,0,1.55604088306427,0.019635006346776094,0.02136182687958164
boehme,baseline,O2_bmin_mag,Quaia_pmcut_G20.5_bmin30_pm_sig<3,30.0,20.5,3.0,,0,1.55604088306427,0.019635006346776094,0.01873980551310126
boehme,baseline,O2_bmin_mag,Quaia_pmcut_G20.5_bmin30_pm_tot<1&pm_sig<3,30.0,20.5,3.0,1.0,0,1.55604088306427,0.019635006346776094,0.01870258655795849
boehme,baseline,O2_bmin_mag,Quaia_pmcut_G20.5_bmin30_none,30.0,20.5,,,1,1.55604088306427,0.019635006346776094,0.017140595082392903
boehme,baseline,O2_bmin_mag,Quaia_pmcut_G20.5_bmin30_pm_tot<1,30.0,20.5,,1.0,0,1.55604088306427,0.019635006346776094,0.01822572273382315
boehme,baseline,O2_bmin_mag,Quaia_G20.5_pmSiglt2_z0p6p1p0,30.0,20.5,2.0,,0,0.8184481912564778,0.019635006346776094,0.026710935257501345
boehme,baseline,O2_bmin_mag,Quaia_G20.5_pmSiglt2_z1p0p1p5,30.0,20.5,2.0,,0,1.2607082545033923,0.019635006346776094,0.019624796380814307
boehme,baseline,O2_bmin_mag,Quaia_G20.5_pmSiglt2_z1p5p3p0,30.0,20.5,2.0,,0,2.057584213322741,0.019635006346776094,0.02211400691139432
boehme,baseline,O3_bmin_mag_pm,Quaia_G<20.0_pmSig_lt2_0p6_1p0,,,,,0,0.8180457891365732,0.01838997681622808,0.017012155130332555
boehme,baseline,O3_bmin_mag_pm,Quaia_G<20.0_pmSig_lt2_1p0_1p5,,,,,0,1.2593244815869629,0.01838997681622808,0.020324803680735592
boehme,baseline,O3_bmin_mag_pm,Quaia_G<20.0_pmSig_lt2_1p5_3p0,,,,,0,2.063375928734873,0.01838997681622808,0.017234809463495884
boehme,baseline,O3_bmin_mag_pm,Quaia_maskscan_G20.0_bmin20,20.0,,,,0,1.5216184854507446,0.024027511567889282,0.021064637848623034
boehme,baseline,O3_bmin_mag_pm,Quaia_maskscan_G20.0_bmin25,25.0,,,,0,1.525849223136902,0.02120874419205868,0.01831520595921513
boehme,baseline,O3_bmin_mag_pm,Quaia_maskscan_G20.0_bmin30,30.0,,,,0,1.529037594795227,0.01838997681622808,0.014387733384548618
boehme,baseline,O3_bmin_mag_pm,Quaia_maskscan_G20.0_bmin35,35.0,,,,0,1.531247854232788,0.01557120944039748,0.01285729664049642
boehme,baseline,O3_bmin_mag_pm,Quaia_maskscan_G20.5_bmin20,20.0,,,,0,1.5471723079681396,0.024027511567889282,0.026216595802515886
boehme,baseline,O3_bmin_mag_pm,Quaia_maskscan_G20.5_bmin25,25.0,,,,0,1.5523033142089844,0.02120874419205868,0.02253185790584223
boehme,baseline,O3_bmin_mag_pm,Quaia_maskscan_G20.5_bmin30,30.0,,,,0,1.55604088306427,0.01838997681622808,0.019729169314125338
boehme,baseline,O3_bmin_mag_pm,Quaia_maskscan_G20.5_bmin35,35.0,,,,0,1.5588762760162354,0.01557120944039748,0.018041161623374845
boehme,baseline,O3_bmin_mag_pm,Quaia_pmcut_G20.0_bmin30_pm_tot<1&pm_sig<2,30.0,20.0,2.0,1.0,0,1.529037594795227,0.015877331291361197,0.017479589471976777
boehme,baseline,O3_bmin_mag_pm,Quaia_pmcut_G20.0_bmin30_pm_sig<2,30.0,20.0,2.0,,0,1.529037594795227,0.015986087791971953,0.017911677869173838
boehme,baseline,O3_bmin_mag_pm,Quaia_pmcut_G20.0_bmin30_pm_tot<0.5,30.0,20.0,,0.5,0,1.529037594795227,0.015253359272923088,0.014025833610723373
boehme,baseline,O3_bmin_mag_pm,Quaia_pmcut_G20.0_bmin30_pm_sig<3,30.0,20.0,3.0,,0,1.529037594795227,0.016325262926343693,0.013937064777856948
boehme,baseline,O3_bmin_mag_pm,Quaia_pmcut_G20.0_bmin30_pm_tot<1,30.0,20.0,,1.0,0,1.529037594795227,0.01519898102261771,0.012900435598314077
boehme,baseline,O3_bmin_mag_pm,Quaia_pmcut_G20.0_bmin30_none,30.0,20.0,,,1,1.529037594795227,0.013204762989958634,0.012649470775928585
boehme,baseline,O3_bmin_mag_pm,Quaia_pmcut_G20.5_bmin30_pm_tot<0.5,30.0,20.5,,0.5,0,1.55604088306427,0.01868908383190938,0.01934519188421111
boehme,baseline,O3_bmin_mag_pm,Quaia_pmcut_G20.5_bmin30_pm_sig<2,30.0,20.5,2.0,,0,1.55604088306427,0.019421812350958245,0.0220106627384602
boehme,baseline,O3_bmin_mag_pm,Quaia_pmcut_G20.5_bmin30_pm_tot<1&pm_sig<2,30.0,20.5,2.0,1.0,0,1.55604088306427,0.01931305585034749,0.0213970331227395
boehme,baseline,O3_bmin_mag_pm,Quaia_pmcut_G20.5_bmin30_pm_sig<3,30.0,20.5,3.0,,0,1.55604088306427,0.019760987485329985,0.018776547576783577
boehme,baseline,O3_bmin_mag_pm,Quaia_pmcut_G20.5_bmin30_pm_tot<1&pm_sig<3,30.0,20.5,3.0,1.0,0,1.55604088306427,0.01965223098471923,0.01873424445496851
boehme,baseline,O3_bmin_mag_pm,Quaia_pmcut_G20.5_bmin30_none,30.0,20.5,,,1,1.55604088306427,0.016640487548944927,0.017180196415716463
boehme,baseline,O3_bmin_mag_pm,Quaia_pmcut_G20.5_bmin30_pm_tot<1,30.0,20.5,,1.0,0,1.55604088306427,0.018634705581604002,0.018257046969138477
boehme,baseline,O3_bmin_mag_pm,Quaia_G20.5_pmSiglt2_z0p6p1p0,30.0,20.5,2.0,,0,0.8184481912564778,0.02250405164395786,0.02677952377395301
boehme,baseline,O3_bmin_mag_pm,Quaia_G20.5_pmSiglt2_z1p0p1p5,30.0,20.5,2.0,,0,1.2607082545033923,0.02250405164395786,0.019674379139198485
boehme,baseline,O3_bmin_mag_pm,Quaia_G20.5_pmSiglt2_z1p5p3p0,30.0,20.5,2.0,,0,2.057584213322741,0.02250405164395786,0.02214016300192437
boehme,baseline,O4_full_plus_z,Quaia_G<20.0_pmSig_lt2_0p6_1p0,,,,,0,0.8180457891365732,0.020304510906477467,0.017291851648856636
boehme,baseline,O4_full_plus_z,Quaia_G<20.0_pmSig_lt2_1p0_1p5,,,,,0,1.2593244815869629,0.01930913387625287,0.02053952040426187
boehme,baseline,O4_full_plus_z,Quaia_G<20.0_pmSig_lt2_1p5_3p0,,,,,0,2.063375928734873,0.01749546293473137,0.017353248131397516
boehme,baseline,O4_full_plus_z,Quaia_maskscan_G20.0_bmin20,20.0,,,,0,1.5216184854507446,0.0243008131906766,0.021231888688877817
boehme,baseline,O4_full_plus_z,Quaia_maskscan_G20.0_bmin25,25.0,,,,0,1.525849223136902,0.021499606665032308,0.018479025319246816
boehme,baseline,O4_full_plus_z,Quaia_maskscan_G20.0_bmin30,30.0,,,,0,1.529037594795227,0.01870075136825753,0.014540383506096037
boehme,baseline,O4_full_plus_z,Quaia_maskscan_G20.0_bmin35,35.0,,,,0,1.531247854232788,0.01590410236526985,0.012996901061225061
boehme,baseline,O4_full_plus_z,Quaia_maskscan_G20.5_bmin20,20.0,,,,0,1.5471723079681396,0.02424317232017137,0.026413425689114246
boehme,baseline,O4_full_plus_z,Quaia_maskscan_G20.5_bmin25,25.0,,,,0,1.5523033142089844,0.021439935089995674,0.02271426720082429
boehme,baseline,O4_full_plus_z,Quaia_maskscan_G20.5_bmin30,30.0,,,,0,1.55604088306427,0.018639840988165794,0.01989651257914521
boehme,baseline,O4_full_plus_z,Quaia_maskscan_G20.5_bmin35,35.0,,,,0,1.5588762760162354,0.01584178189320742,0.01818408538336793
boehme,baseline,O4_full_plus_z,Quaia_pmcut_G20.0_bmin30_pm_tot<1&pm_sig<2,30.0,20.0,2.0,1.0,0,1.529037594795227,0.016039326152381003,0.017649940862447568
boehme,baseline,O4_full_plus_z,Quaia_pmcut_G20.0_bmin30_pm_sig<2,30.0,20.0,2.0,,0,1.529037594795227,0.016137102168857435,0.018075855835207478
boehme,baseline,O4_full_plus_z,Quaia_pmcut_G20.0_bmin30_pm_tot<0.5,30.0,20.0,,0.5,0,1.529037594795227,0.01538083861789318,0.01420376097294153
boehme,baseline,O4_full_plus_z,Quaia_pmcut_G20.0_bmin30_pm_sig<3,30.0,20.0,3.0,,0,1.529037594795227,0.016490789940220456,0.014091736072122801
boehme,baseline,O4_full_plus_z,Quaia_pmcut_G20.0_bmin30_pm_tot<1,30.0,20.0,,1.0,0,1.529037594795227,0.015331950609654964,0.013056888043885976
boehme,baseline,O4_full_plus_z,Quaia_pmcut_G20.0_bmin30_none,30.0,20.0,,,1,1.529037594795227,0.013351654131013205,0.012804378151524383
boehme,baseline,O4_full_plus_z,Quaia_pmcut_G20.5_bmin30_pm_tot<0.5,30.0,20.5,,0.5,0,1.55604088306427,0.018877724702456362,0.019519745533261423
boehme,baseline,O4_full_plus_z,Quaia_pmcut_G20.5_bmin30_pm_sig<2,30.0,20.5,2.0,,0,1.55604088306427,0.01963398825342062,0.022193957132003693
boehme,baseline,O4_full_plus_z,Quaia_pmcut_G20.5_bmin30_pm_tot<1&pm_sig<2,30.0,20.5,2.0,1.0,0,1.55604088306427,0.019536212236944184,0.021569062315470403
boehme,baseline,O4_full_plus_z,Quaia_pmcut_G20.5_bmin30_pm_sig<3,30.0,20.5,3.0,,0,1.55604088306427,0.01998767602478364,0.01895199949161904
boehme,baseline,O4_full_plus_z,Quaia_pmcut_G20.5_bmin30_pm_tot<1&pm_sig<3,30.0,20.5,3.0,1.0,0,1.55604088306427,0.019889900008307204,0.01889345906076822
boehme,baseline,O4_full_plus_z,Quaia_pmcut_G20.5_bmin30_none,30.0,20.5,,,1,1.55604088306427,0.01684854021557639,0.017358404292953256
boehme,baseline,O4_full_plus_z,Quaia_pmcut_G20.5_bmin30_pm_tot<1,30.0,20.5,,1.0,0,1.55604088306427,0.018828836694218143,0.01841587434156392
boehme,baseline,O4_full_plus_z,Quaia_G20.5_pmSiglt2_z0p6p1p0,30.0,20.5,2.0,,0,0.8184481912564778,0.024568775229363526,0.027081936563438255
boehme,baseline,O4_full_plus_z,Quaia_G20.5_pmSiglt2_z1p0p1p5,30.0,20.5,2.0,,0,1.2607082545033923,0.023571184555095593,0.019922347880032366
boehme,baseline,O4_full_plus_z,Quaia_G20.5_pmSiglt2_z1p5p3p0,30.0,20.5,2.0,,0,2.057584213322741,0.021773699113542908,0.022273351318911262
boehme,2MRS_clean,O0_intercept,Quaia_G<20.0_pmSig_lt2_0p6_1p0,,,,,0,0.8180457891365732,0.018369295140729967,0.016927059682106428
boehme,2MRS_clean,O0_intercept,Quaia_G<20.0_pmSig_lt2_1p0_1p5,,,,,0,1.2593244815869629,0.018369295140729967,0.020257852654715535
